DE_gene		UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
Pa_6_1460	OG0003496	tr|Q2H114|Q2H114_CHAGB	tr|Q7SAP8|Q7SAP8_NEUCR	tr|F7VRZ5|F7VRZ5_SORMK	tr|G0RAV1|G0RAV1_HYPJQ	Pa_6_1460|chrm6|Putative
Pa_6_1480	OG0006136	tr|Q2H109|Q2H109_CHAGB	tr|Q7SAQ0|Q7SAQ0_NEUCR	tr|F7VRZ3|F7VRZ3_SORMK		Pa_6_1480|chrm6|Putative
Pa_6_1500	OG0002711	tr|Q2H107|Q2H107_CHAGB	tr|Q7SAQ4|Q7SAQ4_NEUCR	tr|F7VRY8|F7VRY8_SORMK	tr|G0RX42|G0RX42_HYPJQ	Pa_6_1500|chrm6|Putative
Pa_6_1600	OG0004418	tr|Q2H120|Q2H120_CHAGB	tr|V5IN69|V5IN69_NEUCR	tr|F7W2E6|F7W2E6_SORMK	tr|G0RAV7|G0RAV7_HYPJQ	Pa_6_1600|chrm6|Putative
Pa_6_1620	OG0006361	tr|Q2H125|Q2H125_CHAGB	tr|Q7SEJ4|Q7SEJ4_NEUCR	tr|F7W2F0|F7W2F0_SORMK		Pa_6_1620|chrm6|Putative
Pa_6_1690	OG0003081	tr|Q2H128|Q2H128_CHAGB	tr|Q7SEJ6|Q7SEJ6_NEUCR	tr|F7W2F2|F7W2F2_SORMK	tr|G0RLM2|G0RLM2_HYPJQ	Pa_6_1690|chrm6|Putative
Pa_6_170	OG0004303	tr|Q2H1Z9|Q2H1Z9_CHAGB	tr|Q7S9Q3|Q7S9Q3_NEUCR	tr|F7W2A6|F7W2A6_SORMK	tr|G0RC16|G0RC16_HYPJQ	Pa_6_170|chrm6|Putative
Pa_6_180	OG0002202	tr|Q2H1Z8|Q2H1Z8_CHAGB	tr|Q7S9Q4|Q7S9Q4_NEUCR	tr|F7W2A5|F7W2A5_SORMK	tr|G0RBM1|G0RBM1_HYPJQ	Pa_6_180|chrm6|Putative
Pa_6_1950	OG0000309	tr|Q2GUD3|Q2GUD3_CHAGB	tr|Q7S5N1|Q7S5N1_NEUCR, tr|Q7S8B7|Q7S8B7_NEUCR	tr|F7VVJ8|F7VVJ8_SORMK, tr|F7W2C3|F7W2C3_SORMK, tr|F7W5K6|F7W5K6_SORMK	tr|G0R9U1|G0R9U1_HYPJQ	Pa_4_720|chrm4|Putative, Pa_5_11668|chrm5|Putative, Pa_6_1950|chrm6|Putative
Pa_6_1960	OG0007507	tr|Q2GYU9|Q2GYU9_CHAGB			tr|G0REL6|G0REL6_HYPJQ	Pa_6_1960|chrm6|Putative
Pa_6_1970	OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
Pa_6_1980	OG0000124	tr|Q2H0V3|Q2H0V3_CHAGB, tr|Q2H0V4|Q2H0V4_CHAGB, tr|Q2H2H6|Q2H2H6_CHAGB, tr|Q2H4T9|Q2H4T9_CHAGB	tr|Q7S0K8|Q7S0K8_NEUCR, tr|Q7SH73|Q7SH73_NEUCR	tr|F7VTK0|F7VTK0_SORMK, tr|F7VZY4|F7VZY4_SORMK, tr|F7W1H2|F7W1H2_SORMK	tr|G0RAC7|G0RAC7_HYPJQ, tr|G0RQP6|G0RQP6_HYPJQ	Pa_1_17070|chrm1|Putative, Pa_1_22390|chrm1|Putative, Pa_6_1980|chrm6|Putative
Pa_6_1990	OG0000635	tr|Q2H0V1|Q2H0V1_CHAGB	tr|Q7SAJ9|Q7SAJ9_NEUCR, tr|V5IN36|V5IN36_NEUCR	tr|F7VZY7|F7VZY7_SORMK	tr|G0RGH8|G0RGH8_HYPJQ, tr|G0RHA3|G0RHA3_HYPJQ	Pa_6_1990|chrm6|Putative
Pa_6_20	OG0006020				tr|G0RP22|G0RP22_HYPJQ	Pa_5_1827|chrm5|Putative, Pa_5_6640|chrm5|Putative, Pa_6_20|chrm6|Putative, Pa_6_690|chrm6|Putative
Pa_6_2020	OG0007222			tr|F7VL59|F7VL59_SORMK		Pa_5_10450|chrm5|Putative, Pa_6_2020|chrm6|Putative, Pa_7_4260|chrm7|Putative
Pa_6_2030	OG0000634	tr|Q2GPR3|Q2GPR3_CHAGB, tr|Q2H0L8|Q2H0L8_CHAGB, tr|Q2H0Y5|Q2H0Y5_CHAGB		tr|F7W4Y8|F7W4Y8_SORMK	tr|G0RHI6|G0RHI6_HYPJQ	Pa_3_1195|chrm3|Putative, Pa_6_2030|chrm6|Putative
Pa_6_2050	OG0009274					Pa_5_8160|chrm5|Putative, Pa_6_2050|chrm6|Putative
Pa_6_2110	OG0002506	tr|Q2H0W5|Q2H0W5_CHAGB	tr|Q7SAL3|Q7SAL3_NEUCR	tr|F7VZZ9|F7VZZ9_SORMK	tr|G0RAD1|G0RAD1_HYPJQ	Pa_6_2110|chrm6|Putative
Pa_6_2140	OG0005540	tr|Q2H0W2|Q2H0W2_CHAGB	tr|Q7SAL0|Q7SAL0_NEUCR	tr|F7VZZ6|F7VZZ6_SORMK	tr|G0RAD4|G0RAD4_HYPJQ	Pa_6_2140|chrm6|Putative
Pa_6_2200	OG0004174	tr|Q2H0V6|Q2H0V6_CHAGB	tr|Q7SAK4|Q7SAK4_NEUCR	tr|F7VZZ0|F7VZZ0_SORMK	tr|G0RAE4|G0RAE4_HYPJQ	Pa_6_2200|chrm6|Putative
Pa_6_2230	OG0000694	tr|Q2GMZ9|Q2GMZ9_CHAGB, tr|Q2GQ31|Q2GQ31_CHAGB, tr|Q2HEX1|Q2HEX1_CHAGB	tr|Q1K874|Q1K874_NEUCR	tr|F7VU01|F7VU01_SORMK		Pa_6_2230|chrm6|Putative, Pa_6_2300|chrm6|Putative
Pa_6_2270	OG0007371	tr|Q2GPP5|Q2GPP5_CHAGB				Pa_6_2270|chrm6|Putative, Pa_7_3500|chrm7|Putative
Pa_6_2280	OG0000008	tr|Q2GPP6|Q2GPP6_CHAGB, tr|Q2GR49|Q2GR49_CHAGB, tr|Q2GT21|Q2GT21_CHAGB, tr|Q2GU12|Q2GU12_CHAGB, tr|Q2GZH1|Q2GZH1_CHAGB, tr|Q2H375|Q2H375_CHAGB, tr|Q2H376|Q2H376_CHAGB, tr|Q2H5I7|Q2H5I7_CHAGB, tr|Q2HCM7|Q2HCM7_CHAGB, tr|Q2HHS2|Q2HHS2_CHAGB	tr|Q7S1A9|Q7S1A9_NEUCR, tr|Q7S328|Q7S328_NEUCR, tr|Q7S545|Q7S545_NEUCR, tr|Q7SFI0|Q7SFI0_NEUCR, tr|Q7SFX3|Q7SFX3_NEUCR	tr|F7VS31|F7VS31_SORMK, tr|F7VXN0|F7VXN0_SORMK, tr|F7W6N0|F7W6N0_SORMK, tr|F7WAP1|F7WAP1_SORMK, tr|F7WB70|F7WB70_SORMK, tr|F7WB79|F7WB79_SORMK, tr|F7WBH9|F7WBH9_SORMK, tr|F7WCP6|F7WCP6_SORMK	tr|G0R832|G0R832_HYPJQ, tr|G0R8W5|G0R8W5_HYPJQ, tr|G0R9K2|G0R9K2_HYPJQ, tr|G0RBS4|G0RBS4_HYPJQ, tr|G0RD30|G0RD30_HYPJQ, tr|G0RGX3|G0RGX3_HYPJQ, tr|G0RKX0|G0RKX0_HYPJQ, tr|G0RNM1|G0RNM1_HYPJQ, tr|G0RPH1|G0RPH1_HYPJQ, tr|G0RXB9|G0RXB9_HYPJQ	Pa_1_11010|chrm1|Putative, Pa_1_16010|chrm1|Putative, Pa_1_21560|chrm1|Putative, Pa_1_9960|chrm1|Putative, Pa_2_10320|chrm2|Putative, Pa_2_8360|chrm2|Putative, Pa_3_2420|chrm3|Putative, Pa_4_5610|chrm4|Putative, Pa_5_10600|chrm5|Putative, Pa_5_10880|chrm5|Putative, Pa_5_330|chrm5|Putative, Pa_6_10510|chrm6|Putative, Pa_6_2280|chrm6|Putative, Pa_7_3490|chrm7|Putative, Pa_7_4660|chrm7|Putative
Pa_6_2290	OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
Pa_6_230	OG0000792	tr|Q2H4P9|Q2H4P9_CHAGB, tr|Q2H4Q0|Q2H4Q0_CHAGB				Pa_2_7590|chrm2|Putative, Pa_3_1170|chrm3|Putative, Pa_4_8064|chrm4|Putative, Pa_6_230|chrm6|Putative
Pa_6_2340	OG0006380	tr|Q2GR85|Q2GR85_CHAGB, tr|Q2GXA1|Q2GXA1_CHAGB			tr|G0RKT8|G0RKT8_HYPJQ	Pa_6_2340|chrm6|Putative
Pa_6_2370	OG0008236	tr|Q2GYT0|Q2GYT0_CHAGB				Pa_6_2370|chrm6|Putative
Pa_6_2380	OG0003497	tr|Q2GM07|Q2GM07_CHAGB, tr|Q2H1H7|Q2H1H7_CHAGB			tr|G0RKX7|G0RKX7_HYPJQ	Pa_3_960|chrm3|Putative, Pa_6_2380|chrm6|Putative
Pa_6_2390	OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
Pa_6_2410	OG0008255	tr|Q2GMK5|Q2GMK5_CHAGB				Pa_6_2410|chrm6|Putative
Pa_6_2440	OG0000688	tr|Q2H517|Q2H517_CHAGB		tr|F7WCR5|F7WCR5_SORMK	tr|G0RVT0|G0RVT0_HYPJQ	Pa_3_5130|chrm3|Putative, Pa_5_11665|chrm5|Putative, Pa_6_2440|chrm6|Putative, Pa_6_8900|chrm6|Putative
Pa_6_2460	OG0001073	tr|Q2GWJ9|Q2GWJ9_CHAGB	tr|Q1K818|Q1K818_NEUCR	tr|F7W0D3|F7W0D3_SORMK	tr|G0RHL7|G0RHL7_HYPJQ	Pa_2_6940|chrm2|Putative, Pa_6_2460|chrm6|Putative
Pa_6_2600	OG0004793	sp|Q2H0U8|CHO2_CHAGB	sp|Q7SAJ6|CHO2_NEUCR	sp|D1ZIW5|CHO2_SORMK	tr|G0RB22|G0RB22_HYPJQ	Pa_6_2600|chrm6|Putative
Pa_6_2620	OG0004792	tr|Q2H0U5|Q2H0U5_CHAGB	tr|Q7SAJ4|Q7SAJ4_NEUCR	tr|F7VZX9|F7VZX9_SORMK	tr|G0RAS4|G0RAS4_HYPJQ	Pa_6_2620|chrm6|Putative
Pa_6_2630	OG0005352	tr|Q2H0U4|Q2H0U4_CHAGB	tr|Q7S855|Q7S855_NEUCR	tr|F7VZX7|F7VZX7_SORMK	tr|G0RAS1|G0RAS1_HYPJQ	Pa_6_2630|chrm6|Putative
Pa_6_270	OG0000373	tr|Q2GUJ4|Q2GUJ4_CHAGB, tr|Q2HG83|Q2HG83_CHAGB	tr|Q7S0S8|Q7S0S8_NEUCR	tr|F7W5D1|F7W5D1_SORMK	tr|G0RCM2|G0RCM2_HYPJQ, tr|G0RT82|G0RT82_HYPJQ, tr|G0RW92|G0RW92_HYPJQ	Pa_1_12490|chrm1|Putative, Pa_6_270|chrm6|Putative
Pa_6_2740	OG0007008		tr|Q7S9K9|Q7S9K9_NEUCR	tr|F7VN98|F7VN98_SORMK	tr|G0R9Q5|G0R9Q5_HYPJQ	Pa_6_2740|chrm6|Putative
Pa_6_2785	OG0009248					Pa_6_2785|chrm6|Putative, Pa_6_3093|chrm6|Putative
Pa_6_2790	OG0000181	tr|Q2GS93|Q2GS93_CHAGB, tr|Q2H0S1|Q2H0S1_CHAGB	tr|Q7S9J5|Q7S9J5_NEUCR, tr|V5ILA0|V5ILA0_NEUCR	tr|F7W065|F7W065_SORMK, tr|F7W2H5|F7W2H5_SORMK	tr|G0R9M6|G0R9M6_HYPJQ, tr|G0RBQ1|G0RBQ1_HYPJQ, tr|G0RNT6|G0RNT6_HYPJQ, tr|G0RTM8|G0RTM8_HYPJQ	Pa_4_8890|chrm4|Putative, Pa_6_2790|chrm6|Putative
Pa_6_2810	OG0003079	tr|Q2H0R9|Q2H0R9_CHAGB	tr|Q7S9J7|Q7S9J7_NEUCR	tr|F7VN85|F7VN85_SORMK	tr|G0R9M4|G0R9M4_HYPJQ	Pa_6_2810|chrm6|Putative
Pa_6_2830	OG0001230	tr|Q2H0R7|Q2H0R7_CHAGB	tr|Q7S9K3|Q7S9K3_NEUCR	tr|F7VN90|F7VN90_SORMK	tr|G0RB23|G0RB23_HYPJQ	Pa_1_16340|chrm1|Putative, Pa_6_2830|chrm6|Putative
Pa_6_2890	OG0000532	tr|Q2H3X1|Q2H3X1_CHAGB	tr|A7UWE3|A7UWE3_NEUCR, tr|Q7SHA7|Q7SHA7_NEUCR	tr|F7VSP4|F7VSP4_SORMK, tr|F7VZW9|F7VZW9_SORMK		Pa_1_21010|chrm1|Putative, Pa_6_2890|chrm6|Putative, Pa_7_4890|chrm7|Putative
Pa_6_290	OG0000737	tr|Q2GYP0|Q2GYP0_CHAGB, tr|Q2H210|Q2H210_CHAGB	sp|P38680|MTR_NEUCR	tr|F7W2B5|F7W2B5_SORMK	tr|G0RB75|G0RB75_HYPJQ, tr|G0RH92|G0RH92_HYPJQ	Pa_6_290|chrm6|Putative
Pa_6_2930	OG0009250					Pa_3_2750|chrm3|Putative, Pa_6_2930|chrm6|Putative
Pa_6_2950	OG0000785	tr|Q2H0P7|Q2H0P7_CHAGB	tr|V5IND7|V5IND7_NEUCR	tr|F7VNF7|F7VNF7_SORMK	tr|G0RAY6|G0RAY6_HYPJQ	Pa_6_2950|chrm6|Putative, Pa_6_2960|chrm6|Putative
Pa_6_2960	OG0000785	tr|Q2H0P7|Q2H0P7_CHAGB	tr|V5IND7|V5IND7_NEUCR	tr|F7VNF7|F7VNF7_SORMK	tr|G0RAY6|G0RAY6_HYPJQ	Pa_6_2950|chrm6|Putative, Pa_6_2960|chrm6|Putative
Pa_6_3020	OG0004838	tr|Q2H0Q5|Q2H0Q5_CHAGB	tr|Q7S8S0|Q7S8S0_NEUCR	tr|F7W2G7|F7W2G7_SORMK	tr|G0RAZ0|G0RAZ0_HYPJQ	Pa_6_3020|chrm6|Putative
Pa_6_3093	OG0009248					Pa_6_2785|chrm6|Putative, Pa_6_3093|chrm6|Putative
Pa_6_3170	OG0004007	tr|Q2H0P1|Q2H0P1_CHAGB	tr|Q7SEI3|Q7SEI3_NEUCR	tr|F7W2D6|F7W2D6_SORMK	tr|G0R9P4|G0R9P4_HYPJQ	Pa_6_3170|chrm6|Putative
Pa_6_3210	OG0008024	tr|Q2H0M6|Q2H0M6_CHAGB				Pa_6_3210|chrm6|Putative
Pa_6_3280	OG0001988	tr|Q2H0N2|Q2H0N2_CHAGB	tr|Q7S9N8|Q7S9N8_NEUCR	tr|F7VND4|F7VND4_SORMK	tr|G0RSZ9|G0RSZ9_HYPJQ	Pa_6_3280|chrm6|Putative
Pa_6_3365	OG0000053					Pa_1_4990|chrm1|Putative, Pa_2_7555|chrm2|Putative, Pa_2_7610|chrm2|Putative, Pa_2_7763|chrm2|Putative, Pa_2_7765|chrm2|Putative, Pa_2_7766|chrm2|Putative, Pa_4_1053|chrm4|Putative, Pa_4_3755|chrm4|Putative, Pa_4_515|chrm4|Putative, Pa_5_12170|chrm5|Putative, Pa_5_12390|chrm5|Putative, Pa_5_6430|chrm5|Putative, Pa_5_6440|chrm5|Putative, Pa_5_9845|chrm5|Putative, Pa_5_9850|chrm5|Putative, Pa_6_11385|chrm6|Putative, Pa_6_3310|chrm6|Putative, Pa_6_3365|chrm6|Putative, Pa_6_3368|chrm6|Putative, Pa_6_7523|chrm6|Putative, Pa_6_8823|chrm6|Putative, Pa_6_8825|chrm6|Putative
Pa_6_3430	OG0002877	tr|Q2H0L1|Q2H0L1_CHAGB	tr|Q7S9N2|Q7S9N2_NEUCR	tr|F7VNC8|F7VNC8_SORMK	tr|G0RAS7|G0RAS7_HYPJQ	Pa_6_3430|chrm6|Putative
Pa_6_3460	OG0009215				tr|G0RAT0|G0RAT0_HYPJQ	Pa_6_3460|chrm6|Putative
Pa_6_3500	OG0002623	tr|Q2H0K4|Q2H0K4_CHAGB	tr|Q1K8F8|Q1K8F8_NEUCR	tr|F7VND3|F7VND3_SORMK	tr|G0RAT4|G0RAT4_HYPJQ	Pa_6_3500|chrm6|peroxisomal
Pa_6_3560	OG0002671	tr|Q2H0J9|Q2H0J9_CHAGB	tr|Q7S9M6|Q7S9M6_NEUCR	tr|F7VNC0|F7VNC0_SORMK	tr|G0RAT9|G0RAT9_HYPJQ	Pa_6_3560|chrm6|Putative
Pa_6_3605	OG0006021					Pa_2_7195|chrm2|Putative, Pa_2_7998|chrm2|Putative, Pa_4_4037|chrm4|Putative, Pa_6_3605|chrm6|Putative, Pa_6_7775|chrm6|Putative
Pa_6_3690	OG0007528	tr|Q2HH13|Q2HH13_CHAGB			tr|G0RKQ1|G0RKQ1_HYPJQ	Pa_6_3690|chrm6|Putative
Pa_6_3710	OG0007265	tr|Q2HHQ8|Q2HHQ8_CHAGB				Pa_2_7380|chrm2|Putative, Pa_6_3710|chrm6|Putative
Pa_6_3730	OG0000040	tr|Q2GQ28|Q2GQ28_CHAGB, tr|Q2GQI5|Q2GQI5_CHAGB, tr|Q2GZJ4|Q2GZJ4_CHAGB, tr|Q2H2F5|Q2H2F5_CHAGB, tr|Q2H5C8|Q2H5C8_CHAGB, tr|Q2HHU1|Q2HHU1_CHAGB	tr|A7UWM5|A7UWM5_NEUCR, tr|A7UX66|A7UX66_NEUCR, tr|V5IPR9|V5IPR9_NEUCR	tr|F7VJX0|F7VJX0_SORMK, tr|F7VR94|F7VR94_SORMK, tr|F7VSJ1|F7VSJ1_SORMK, tr|F7W1C8|F7W1C8_SORMK, tr|F7W1H1|F7W1H1_SORMK, tr|F7W5Z8|F7W5Z8_SORMK, tr|F7WBH3|F7WBH3_SORMK		Pa_1_15850|chrm1|Putative, Pa_3_460|chrm3|Putative, Pa_5_10090|chrm5|Putative, Pa_5_10410|chrm5|Putative, Pa_5_6690|chrm5|Putative, Pa_5_7480|chrm5|Putative, Pa_6_3730|chrm6|Putative
Pa_6_3760	OG0000793	tr|Q2GUT1|Q2GUT1_CHAGB	tr|V5IQT1|V5IQT1_NEUCR	tr|F7WB37|F7WB37_SORMK, tr|F7WB38|F7WB38_SORMK	tr|G0RNU3|G0RNU3_HYPJQ	Pa_6_3760|chrm6|Putative
Pa_6_3770	OG0007439	tr|Q2H8A7|Q2H8A7_CHAGB			tr|G0RUK8|G0RUK8_HYPJQ	Pa_6_3770|chrm6|Putative
Pa_6_3810	OG0001925	tr|Q2GUT8|Q2GUT8_CHAGB	sp|Q9P5X8|RNH2A_NEUCR	tr|F7WB23|F7WB23_SORMK	tr|G0RA68|G0RA68_HYPJQ	Pa_6_3810|chrm6|Putative
Pa_6_3900	OG0005342	tr|Q2GV27|Q2GV27_CHAGB	tr|Q7RWJ3|Q7RWJ3_NEUCR	tr|F7W9E0|F7W9E0_SORMK	tr|G0RA91|G0RA91_HYPJQ	Pa_6_3900|chrm6|Putative
Pa_6_4050	OG0001505	tr|Q2GV96|Q2GV96_CHAGB	tr|V5IP74|V5IP74_NEUCR	tr|F7WA03|F7WA03_SORMK	tr|G0R8H1|G0R8H1_HYPJQ	Pa_6_4050|chrm6|Putative
Pa_6_4080	OG0001085	tr|Q2GUU4|Q2GUU4_CHAGB	tr|Q1K8H2|Q1K8H2_NEUCR	tr|F7W7Z4|F7W7Z4_SORMK	tr|G0RA75|G0RA75_HYPJQ	Pa_4_5790|chrm4|Putative, Pa_6_4080|chrm6|Putative
Pa_6_410	OG0007716		tr|Q7S9Q2|Q7S9Q2_NEUCR	tr|F7W2A7|F7W2A7_SORMK		Pa_6_410|chrm6|Putative
Pa_6_4110	OG0003485	tr|Q2GV16|Q2GV16_CHAGB	tr|Q1K507|Q1K507_NEUCR	tr|F7W801|F7W801_SORMK	tr|G0R8C3|G0R8C3_HYPJQ	Pa_6_4110|chrm6|Putative
Pa_6_4140	OG0006024	sp|Q2GV19|POA1_CHAGB	tr|V5IPQ6|V5IPQ6_NEUCR	tr|F7W9E2|F7W9E2_SORMK		Pa_6_4140|chrm6|Putative
Pa_6_420	OG0000091		tr|V5IKP7|V5IKP7_NEUCR	tr|F7W5P1|F7W5P1_SORMK	tr|G0R970|G0R970_HYPJQ, tr|G0RA30|G0RA30_HYPJQ, tr|G0RB74|G0RB74_HYPJQ, tr|G0RB86|G0RB86_HYPJQ, tr|G0RC66|G0RC66_HYPJQ, tr|G0RD79|G0RD79_HYPJQ, tr|G0RE78|G0RE78_HYPJQ, tr|G0RHB6|G0RHB6_HYPJQ, tr|G0RKM0|G0RKM0_HYPJQ, tr|G0RT20|G0RT20_HYPJQ, tr|G0RW37|G0RW37_HYPJQ, tr|G0RXF5|G0RXF5_HYPJQ	Pa_5_10710|chrm5|Putative, Pa_6_420|chrm6|Putative, Pa_7_110|chrm7|Putative
Pa_6_4210	OG0001067	tr|Q2GUZ0|Q2GUZ0_CHAGB	tr|Q1K4N9|Q1K4N9_NEUCR	tr|F7W821|F7W821_SORMK	tr|G0R8D2|G0R8D2_HYPJQ, tr|G0RRQ6|G0RRQ6_HYPJQ	Pa_6_4210|chrm6|Putative
